user_id,block_id,trial_id,starting_x,starting_y,target_x,target_y,angle,distance,rail_length
97846,0,0,-0.22,-13.29,-12.0,-11.0,349,12,8
97846,0,1,1.71,-14.05,-8.0,-7.0,324,12,8
97846,0,2,-4.89,-3.41,-8.0,-15.0,75,12,8
97846,0,3,7.79,-3.0,8.0,-15.0,91,12,8
97846,0,4,-2.86,-8.87,-8.0,-15.0,50,8,8
97846,0,5,-9.07,-8.27,-12.0,-11.0,43,4,8
97846,1,6,4.81,-9.41,8.0,-7.0,217,4,4
97846,1,7,0.69,-11.75,8.0,-15.0,156,8,4
97846,1,8,5.1,-3.36,8.0,-15.0,104,12,4
97846,1,9,0.05,-9.95,12.0,-11.0,175,12,4
97846,1,10,-0.1,-5.75,-8.0,-7.0,9,8,4
97846,1,11,-0.39,-12.53,-8.0,-15.0,18,8,4
97846,2,12,-1.07,-11.0,-8.0,-15.0,30,8,4
97846,2,13,0.58,-10.0,8.0,-7.0,202,8,4
97846,2,14,9.37,-11.24,8.0,-15.0,70,4,4
97846,2,15,10.31,-14.63,12.0,-11.0,245,4,4
97846,2,16,-8.22,-12.3,-12.0,-11.0,341,4,4
97846,2,17,-2.5,-9.18,8.0,-15.0,151,12,4
97846,3,18,0.09,-9.54,12.0,-11.0,173,12,12
97846,3,19,-5.0,-14.88,-12.0,-11.0,331,8,12
97846,3,20,-8.63,-11.05,-8.0,-15.0,99,4,12
97846,3,21,3.48,-10.51,-8.0,-7.0,343,12,12
97846,3,22,0.05,-9.95,12.0,-11.0,175,12,12
97846,3,23,-3.85,-8.88,8.0,-7.0,189,12,12
97846,4,24,-0.22,-13.29,-12.0,-11.0,349,12,4
97846,4,25,1.71,-14.05,-8.0,-7.0,324,12,4
97846,4,26,-4.89,-3.41,-8.0,-15.0,75,12,4
97846,4,27,7.79,-3.0,8.0,-15.0,91,12,4
97846,4,28,-2.86,-8.87,-8.0,-15.0,50,8,4
97846,4,29,-9.07,-8.27,-12.0,-11.0,43,4,4
97846,5,30,4.81,-9.41,8.0,-7.0,217,4,8
97846,5,31,0.69,-11.75,8.0,-15.0,156,8,8
97846,5,32,5.1,-3.36,8.0,-15.0,104,12,8
97846,5,33,0.05,-9.95,12.0,-11.0,175,12,8
97846,5,34,-0.1,-5.75,-8.0,-7.0,9,8,8
97846,5,35,-0.39,-12.53,-8.0,-15.0,18,8,8
97846,6,36,-5.53,-6.3,-12.0,-11.0,36,8,8
97846,6,37,5.13,-14.47,8.0,-7.0,249,8,8
97846,6,38,9.94,-14.76,8.0,-7.0,284,8,8
97846,6,39,-10.97,-4.32,-8.0,-7.0,138,4,8
97846,6,40,-3.28,-11.1,8.0,-7.0,200,12,8
97846,6,41,-5.07,-9.73,-8.0,-7.0,317,4,8
97846,7,42,4.29,-13.5,8.0,-15.0,158,4,12
97846,7,43,0.15,-13.47,8.0,-15.0,169,8,12
97846,7,44,-3.12,-4.04,-8.0,-15.0,66,12,12
97846,7,45,4.05,-14.37,8.0,-15.0,171,4,12
97846,7,46,9.94,-3.5,8.0,-7.0,61,4,12
97846,7,47,-3.41,-13.55,-8.0,-7.0,305,8,12
97846,8,48,8.02,-11.42,12.0,-11.0,186,4,12
97846,8,49,5.07,-7.0,12.0,-11.0,150,8,12
