user_id,block_id,trial_id,starting_x,starting_y,target_x,target_y,angle,distance,rail_length
70260,-1,-6,-4.17,-13.17,-8.0,-12.0,343,4,16
70260,-1,-5,-3.14,-13.12,-10.0,-9.0,329,8,8
70260,-1,-4,2.6,-11.63,-8.0,-6.0,332,12,12
70260,-1,-3,-4.17,-13.17,-8.0,-12.0,343,4,8
70260,-1,-2,8.31,-12.63,10.0,-9.0,245,4,8
70260,-1,-1,8.31,-12.63,10.0,-9.0,245,4,12
70260,0,0,6.1,-9.9,10.0,-9.0,193,4,16
70260,0,1,-4.17,-13.17,-8.0,-12.0,343,4,16
70260,0,2,3.37,-4.53,10.0,-9.0,146,8,16
70260,0,3,5.43,-8.94,8.0,-12.0,130,4,16
70260,0,4,6.34,-4.17,8.0,-12.0,102,8,16
70260,0,5,-3.48,-8.49,8.0,-12.0,163,12,16
70260,1,6,0.39,-9.53,8.0,-12.0,162,8,16
70260,1,7,-8.69,-9.94,-8.0,-6.0,260,4,16
70260,1,8,-8.14,-8.0,-8.0,-12.0,92,4,16
70260,1,9,9.94,-9.5,8.0,-6.0,299,4,16
70260,1,10,-6.65,-11.18,-10.0,-9.0,327,4,16
70260,1,11,6.83,-15.83,8.0,-12.0,253,4,16
70260,2,12,-3.99,-5.58,8.0,-6.0,178,12,8
70260,2,13,-3.14,-13.12,-10.0,-9.0,329,8,8
70260,2,14,-1.35,-5.09,10.0,-9.0,161,12,8
70260,2,15,2.01,-8.58,10.0,-9.0,177,8,8
70260,2,16,3.99,-11.58,-8.0,-12.0,2,12,8
70260,2,17,3.59,-9.11,-8.0,-6.0,345,12,8
70260,3,18,-5.26,-13.52,-8.0,-6.0,290,8,12
70260,3,19,-0.06,-12.97,-8.0,-12.0,353,8,12
70260,3,20,4.37,-4.31,8.0,-6.0,155,4,12
70260,3,21,1.41,-12.71,-10.0,-9.0,342,12,12
70260,3,22,1.45,-10.59,8.0,-6.0,215,8,12
70260,3,23,3.35,-9.91,-8.0,-6.0,341,12,12
70260,4,24,-6.06,-13.76,-8.0,-6.0,284,8,12
70260,4,25,2.6,-11.63,-8.0,-6.0,332,12,12
70260,4,26,2.06,-5.46,-8.0,-12.0,33,12,12
70260,4,27,1.82,-6.92,-10.0,-9.0,10,12,12
70260,4,28,4.05,-6.63,8.0,-6.0,189,4,12
70260,4,29,-3.28,-7.9,8.0,-12.0,160,12,12
70260,5,30,-5.26,-13.52,-8.0,-6.0,290,8,16
70260,5,31,-0.06,-12.97,-8.0,-12.0,353,8,16
70260,5,32,4.37,-4.31,8.0,-6.0,155,4,16
70260,5,33,1.41,-12.71,-10.0,-9.0,342,12,16
70260,5,34,1.45,-10.59,8.0,-6.0,215,8,16
70260,5,35,3.35,-9.91,-8.0,-6.0,341,12,16
70260,6,36,6.1,-9.9,10.0,-9.0,193,4,8
70260,6,37,-4.17,-13.17,-8.0,-12.0,343,4,8
70260,6,38,3.37,-4.53,10.0,-9.0,146,8,8
70260,6,39,5.43,-8.94,8.0,-12.0,130,4,8
70260,6,40,6.34,-4.17,8.0,-12.0,102,8,8
70260,6,41,-3.48,-8.49,8.0,-12.0,163,12,8
70260,7,42,4.89,-9.48,8.0,-12.0,141,4,16
70260,7,43,8.31,-12.63,10.0,-9.0,245,4,16
