user_id,block_id,trial_id,starting_x,starting_y,target_x,target_y,angle,distance,rail_length
17411,9,54,-3.88,-7.67,8.0,-6.0,188,12,12
17411,9,55,-1.41,-12.71,10.0,-9.0,198,12,12
17411,9,56,-6.2,-7.76,-10.0,-9.0,18,4,12
17411,9,57,-7.58,-13.99,-8.0,-6.0,273,8,12
17411,9,58,-6.12,-8.47,-8.0,-12.0,62,4,12
17411,9,59,8.28,-4.0,8.0,-12.0,88,8,12
17411,0,0,-3.99,-11.58,8.0,-12.0,178,12,8
17411,0,1,10.06,-15.43,8.0,-12.0,301,4,8
17411,0,2,6.31,-9.63,8.0,-6.0,245,4,8
17411,0,3,0.75,-15.38,8.0,-12.0,205,8,8
17411,0,4,-3.54,-15.31,8.0,-12.0,196,12,8
17411,0,5,-5.4,-4.44,-8.0,-12.0,71,8,8
17411,1,6,-7.31,-15.94,-8.0,-12.0,280,4,16
17411,1,7,9.79,-5.01,10.0,-9.0,93,4,16
17411,1,8,2.88,-6.93,-8.0,-12.0,25,12,16
17411,1,9,7.86,-14.0,8.0,-6.0,269,8,16
17411,1,10,-0.06,-12.97,-8.0,-12.0,353,8,16
17411,1,11,8.83,-12.83,10.0,-9.0,253,4,16
17411,2,12,-10.78,-8.88,-8.0,-6.0,226,4,8
17411,2,13,9.11,-4.08,8.0,-12.0,82,8,8
17411,2,14,-3.91,-7.46,8.0,-6.0,187,12,8
17411,2,15,-2.0,-8.79,10.0,-9.0,179,12,8
17411,2,16,-3.48,-15.51,8.0,-12.0,197,12,8
17411,2,17,-6.47,-7.12,-10.0,-9.0,28,4,8
17411,3,18,1.28,-4.9,-10.0,-9.0,20,12,8
17411,3,19,1.91,-7.54,-10.0,-9.0,7,12,8
17411,3,20,-4.94,-8.57,-8.0,-6.0,320,4,8
17411,3,21,2.5,-6.18,-8.0,-12.0,29,12,8
17411,3,22,4.05,-6.63,8.0,-6.0,189,4,8
17411,3,23,3.53,-4.3,10.0,-9.0,144,8,8
17411,4,24,-3.88,-7.67,8.0,-6.0,188,12,16
17411,4,25,-1.41,-12.71,10.0,-9.0,198,12,16
17411,4,26,-6.2,-7.76,-10.0,-9.0,18,4,16
17411,4,27,-7.58,-13.99,-8.0,-6.0,273,8,16
17411,4,28,-6.12,-8.47,-8.0,-12.0,62,4,16
17411,4,29,8.28,-4.0,8.0,-12.0,88,8,16
17411,5,30,-3.88,-7.67,8.0,-6.0,188,12,8
17411,5,31,-1.41,-12.71,10.0,-9.0,198,12,8
17411,5,32,-6.2,-7.76,-10.0,-9.0,18,4,8
17411,5,33,-7.58,-13.99,-8.0,-6.0,273,8,8
17411,5,34,-6.12,-8.47,-8.0,-12.0,62,4,8
17411,5,35,8.28,-4.0,8.0,-12.0,88,8,8
17411,6,36,2.0,-9.0,10.0,-9.0,180,8,16
17411,6,37,-2.12,-7.61,-10.0,-9.0,10,8,16
17411,6,38,-3.54,-9.31,8.0,-6.0,196,12,16
17411,6,39,3.2,-10.3,-8.0,-6.0,339,12,16
17411,6,40,-4.24,-13.06,-8.0,-6.0,298,8,16
17411,6,41,-4.85,-8.46,-8.0,-6.0,322,4,16
17411,7,42,1.28,-4.9,-10.0,-9.0,20,12,16
17411,7,43,1.91,-7.54,-10.0,-9.0,7,12,16
17411,7,44,-4.94,-8.57,-8.0,-6.0,320,4,16
17411,7,45,2.5,-6.18,-8.0,-12.0,29,12,16
17411,7,46,4.05,-6.63,8.0,-6.0,189,4,16
17411,7,47,3.53,-4.3,10.0,-9.0,144,8,16
17411,8,48,-10.78,-8.88,-8.0,-6.0,226,4,16
17411,8,49,9.11,-4.08,8.0,-12.0,82,8,16
17411,8,50,-3.91,-7.46,8.0,-6.0,187,12,16
17411,8,51,-2.0,-8.79,10.0,-9.0,179,12,16
17411,8,52,-3.48,-15.51,8.0,-12.0,197,12,16
17411,8,53,-6.47,-7.12,-10.0,-9.0,28,4,16
17411,10,60,-6.0,-8.86,-10.0,-9.0,2,4,12
17411,10,61,8.42,-15.98,8.0,-12.0,276,4,12
17411,10,62,6.75,-13.9,8.0,-6.0,261,8,12
17411,10,63,9.8,-13.79,8.0,-6.0,283,8,12
17411,10,64,-1.74,-6.51,10.0,-9.0,168,12,12
17411,10,65,-5.88,-8.61,-8.0,-12.0,58,4,12
17411,11,66,-7.31,-15.94,-8.0,-12.0,280,4,12
17411,11,67,9.79,-5.01,10.0,-9.0,93,4,12
17411,11,68,2.88,-6.93,-8.0,-12.0,25,12,12
17411,11,69,7.86,-14.0,8.0,-6.0,269,8,12
17411,11,70,-0.06,-12.97,-8.0,-12.0,353,8,12
17411,11,71,8.83,-12.83,10.0,-9.0,253,4,12
17411,12,72,9.51,-5.03,10.0,-9.0,97,4,16
17411,12,73,10.41,-9.19,8.0,-6.0,307,4,16
17411,12,74,1.74,-11.49,-10.0,-9.0,348,12,16
17411,12,75,-3.41,-5.45,-8.0,-12.0,55,8,16
17411,12,76,-5.4,-13.56,-8.0,-6.0,289,8,16
17411,12,77,4.05,-12.63,8.0,-12.0,189,4,16
17411,13,78,-6.0,-8.86,-10.0,-9.0,2,4,8
17411,13,79,8.42,-15.98,8.0,-12.0,276,4,8
17411,13,80,6.75,-13.9,8.0,-6.0,261,8,8
17411,13,81,9.8,-13.79,8.0,-6.0,283,8,8
17411,13,82,-1.74,-6.51,10.0,-9.0,168,12,8
17411,13,83,-5.88,-8.61,-8.0,-12.0,58,4,8
17411,14,84,2.0,-9.0,10.0,-9.0,180,8,12
17411,14,85,-2.12,-7.61,-10.0,-9.0,10,8,12
17411,14,86,-3.54,-9.31,8.0,-6.0,196,12,12
