UserId,TaskId,BlockId,TargetX,TargetY,StartX,StartY,GuideLength,Time,TimeToRail,FoundTarget,Agency,Easiness
70260,88,14,10,-9,2.06,-9.97,8,2036,1849,True,5,5
70260,89,14,-8,-6,-5.17,-8.83,8,2555,430,True,5,5
70260,90,15,8,-12,0.39,-9.53,12,10674,3069,True,5,5
70260,91,15,-8,-6,-8.69,-9.94,12,851,241,True,5,5
70260,92,15,-8,-12,-8.14,-8,12,4987,4920,False,5,5
70260,93,15,8,-6,9.94,-9.5,12,2340,382,True,5,5
70260,94,15,-10,-9,-6.65,-11.18,12,7589,501,True,5,5
70260,95,15,8,-12,6.83,-15.83,12,1022,512,False,5,5
70260,96,16,8,-6,-2.18,-12.36,12,2977,2807,False,5,5
70260,97,16,8,-12,-3.95,-10.95,12,3203,2709,False,5,5
70260,98,16,-10,-9,1.88,-10.67,12,13570,2377,True,5,5
70260,99,16,-8,-12,3.85,-13.88,12,2255,1387,True,5,5
70260,100,16,-10,-9,-10.63,-5.05,12,453,418,True,5,5
70260,101,16,-10,-9,-6.05,-9.63,12,1335,894,True,5,5
70260,102,17,8,-6,-2.18,-12.36,8,997,894,False,5,4
70260,103,17,8,-12,-3.95,-10.95,8,6375,1946,True,5,4
70260,104,17,-10,-9,1.88,-10.67,8,8341,2695,True,5,4
70260,105,17,-8,-12,3.85,-13.88,8,8678,2202,True,5,4
70260,106,17,-10,-9,-10.63,-5.05,8,2571,452,True,5,4
70260,107,17,-10,-9,-6.05,-9.63,8,2200,1300,True,5,4
70260,108,18,8,-6,8.42,-13.99,12,4983,1499,True,5,5
70260,109,18,-10,-9,-2.44,-11.6,12,3058,1528,True,5,5
70260,110,18,-8,-12,-0.12,-13.39,12,1649,1072,True,5,5
70260,111,18,-8,-12,-4.76,-14.35,12,1113,467,True,5,5
70260,112,18,10,-9,2.06,-9.97,12,1266,1266,False,5,5
70260,113,18,-8,-6,-5.17,-8.83,12,3926,1012,True,5,5
70260,114,19,8,-12,0.39,-9.53,8,6789,3018,True,5,4
70260,115,19,-8,-6,-8.69,-9.94,8,551,483,False,5,4
70260,116,19,-8,-12,-8.14,-8,8,1978,1347,False,5,4
70260,117,19,8,-6,9.94,-9.5,8,5827,365,False,5,4
70260,118,19,-10,-9,-6.65,-11.18,8,5091,518,True,5,4
70260,119,19,8,-12,6.83,-15.83,8,446,309,True,5,4
70260,120,20,-8,-6,-8.14,-14,8,4763,3524,True,5,4
70260,121,20,8,-6,-3.35,-9.91,8,5572,4505,True,5,4
70260,122,20,10,-9,-1.99,-9.42,8,5736,5327,True,5,4
70260,123,20,-10,-9,-2.06,-8.03,8,2882,2780,True,5,4
70260,124,20,10,-9,9.24,-5.07,8,3638,636,True,5,4
70260,125,20,-8,-6,-9.82,-9.56,8,4383,1164,True,5,4
70260,126,21,-8,-6,-6.06,-13.76,8,4679,1110,True,5,4
70260,127,21,-8,-6,2.6,-11.63,8,3639,2123,True,5,4
70260,128,21,-8,-12,2.06,-5.46,8,4503,2987,True,5,4
70260,129,21,-10,-9,1.82,-6.92,8,1209,1209,True,5,4
70260,130,21,8,-6,4.05,-6.63,8,6565,583,True,5,4
70260,131,21,8,-12,-3.28,-7.9,8,8606,2818,False,5,4
70260,132,22,10,-9,6.1,-9.9,12,1942,123,True,4,3
70260,133,22,-8,-12,-4.17,-13.17,12,1378,329,True,4,3
70260,134,22,10,-9,3.37,-4.53,12,1318,553,True,4,3
70260,135,22,8,-12,5.43,-8.94,12,1710,1094,True,4,3
70260,136,22,8,-12,6.34,-4.17,12,1493,1304,False,4,3
70260,137,22,8,-12,-3.48,-8.49,12,11775,4394,False,4,3
70260,138,23,-8,-6,-8.14,-14,16,4733,1366,True,4,4
70260,139,23,8,-6,-3.35,-9.91,16,7068,2909,True,4,4
70260,140,23,10,-9,-1.99,-9.42,16,3147,2926,True,4,4
70260,141,23,-10,-9,-2.06,-8.03,16,9307,1667,True,4,4
70260,142,23,10,-9,9.24,-5.07,16,851,817,True,4,4
70260,143,23,-8,-6,-9.82,-9.56,16,3394,914,True,4,4
70260,144,24,8,-6,-2.18,-12.36,16,6916,819,True,5,4
70260,145,24,8,-12,-3.95,-10.95,16,6924,2058,True,5,4
70260,146,24,-10,-9,1.88,-10.67,16,8969,3718,True,5,4
70260,147,24,-8,-12,3.85,-13.88,16,13402,3588,True,5,4
70260,148,24,-10,-9,-10.63,-5.05,16,6687,160,False,5,4
70260,149,24,-10,-9,-6.05,-9.63,16,2157,274,True,5,4
70260,150,25,8,-6,8.42,-13.99,16,983,414,True,3,5
70260,151,25,-10,-9,-2.44,-11.6,16,4816,1383,True,3,5
70260,152,25,-8,-12,-0.12,-13.39,16,536,536,False,3,5
70260,153,25,-8,-12,-4.76,-14.35,16,2421,1496,True,3,5
70260,154,25,10,-9,2.06,-9.97,16,11051,4521,True,3,5
70260,155,25,-8,-6,-5.17,-8.83,16,3364,1451,True,3,5
70260,156,26,8,-6,-3.99,-5.58,16,9072,1062,True,5,5
70260,157,26,-10,-9,-3.14,-13.12,16,4499,1129,True,5,5
70260,158,26,10,-9,-1.35,-5.09,16,3285,1499,True,5,5
70260,159,26,10,-9,2.01,-8.58,16,1148,464,True,5,5
70260,160,26,-8,-12,3.99,-11.58,16,4016,622,True,5,5
70260,161,26,-8,-6,3.59,-9.11,16,10235,6647,True,5,5
